Rank,Account,Extrinsics,Locked (BNC),Balance (BNC)
1,131VC74FLSFQGoffdndKJB9BgMv1pbMaUnxDg8ExV6VYwUkP,0,0,"39,233,026.299476224551"
2,13cKp89Uh2yWgTG28JA1QEvPUMjEPKejqkjHKf9zqLiFKjH6,0,0,"7,914,938.410161442732"
3,13UVJyLjmw21cGvG3XuEhCapJvRCZtGK6bMBwDzmukm98J7S,0,0,"4,721,725.441045673866"
4,13i264UcaMtDkJaXE96aKkEFvULKCzfDAy3hkQC7g8Yjvwgq,0,"1,907,500.981118529516","1,907,501.981118529516"
5,12EXVfUgXj3Wqc8uQaHLhawTKFGn3WJvG66VdRVEnMB8JsW2,0,"1,906,459.526690792834","1,906,460.526690792834"
6,155faHB5aMTL4pgmdmUEyNjt2jAdVe7pwqZ6gf8DgySL9Kc3,0,"1,906,252.424931653154","1,906,253.424931653154"
7,1RRBm6aEAxYXjjacerrEyNxvhDZLbr9PJRvtbxD3NkgTB8S,0,"1,906,148.539485002208","1,906,149.539485002208"
8,12Joi61Ep7yJgfuAtFeRR7za27LmGuTtkPWL66Cc2T79Pt6i,0,"1,906,068.237234701632","1,906,069.237234701632"
9,13kxuvahBExH8ALUbEZLYuvN5r2tqfhaGHV96XkvTj91jNhR,0,"1,905,923.138156864024","1,905,924.138156864024"
10,13PwrD5KB2eHd8ebBWiv8sCF38pj7FN9Nda6chQ9j3y6HXJE,0,"1,905,709.508044876828","1,905,710.508044876828"
11,12xkM7Qvz2JbUVLPmZxDw2W16h42xPcEnCcxwBe8xjCSA1Fu,7,0,"1,440,100.923723419284"
12,12riUsJvL68LCJyd8oYPpwA741TZ8x6YyKcjDV3bKxB3YDPp,151,"750,000","1,194,038.005784306401"
13,133VgJJgp1s9wxLqgCFxYx6T873hZQNchJM9tmbU6NkYaaqW,983,"1,000,000","1,013,212.753656990868"
14,12ifjy75G5hXFUAfD6VdTKxqKCjXLSnwXc63zFUerJqaDEHU,0,0,"815,813.41356669"
15,15SEFjEwDF2oQ5Vx4LSKeqZeWmsakKePXsnn8NWc2S4Qxtw4,0,0,"719,713.0402235"
16,1JVrK16XZm9vyZjHoYVPjtZ35LvTQ4oyufMoUFTFpAUhath,2350,0,"708,201.446418741678"
17,13UVJyLjmw1zX8jC5EEaGMVv3hbxEGTsCRnHwDJKgtR6paUh,0,0,"622,021.731243355448"
18,13cKp89UHns9eDQQV3CZ1seFH6QQ6bnVeLHe4SpsekeJse1r,0,0,"592,754.862888126702"
19,13apF7YepTQ1qFBRTCMcKrgi6W2t6dDvLFVZ474vqT9Cw7Lh,51,"413,333","435,079.190101867833"
20,16XxR5hPTC4qNyRTSgzRuj4J2FgttyybsfigsuEK7EW2w6GD,2295,0,"394,536.937569741106"
21,15aJUMQYUHKvNANYkKsjd1zy3gmfk8q8CazWkDfoe9EhADKJ,15,0,"300,002.863407422297"
22,13UVJyLjmw1yAgYQVV79obeQsiFnEXXVaeNYXz2Wp3PrKeVH,0,0,"279,001.512884925427"
23,15MPTV4xR9ghmnRBJrtJAsnAB5gfF8YiXEBfh7FFBoDQKvEF,57,"255,796","260,307.738753611709"
24,1FiSH7v8QrgDkgrq4jPN9K3kyPF7V8K9bakjtUYYfSxz1Fc,439,"228,000","238,870.271212754875"
25,13cKp89P5dSS97HR8gme172QkfBaMDXK5rYHegYGH7m6yxhA,0,0,"233,382.416671596647"